label,proto,n_packets,duration_s,len_mean,len_stdev,len_entropy,n_unique_sizes,dominant_size,dominant_size_fraction,top3_size_fraction,bulk_fraction,ack60_fraction,ack_to_data_ratio,iat_mean,iat_stdev,rate_pps,flow_key
background,udp,23,522.87,59.9,13.7,2.431,8,45,0.391,0.783,0.0,0.174,0.0,23.7669,93.0854,0.04,udp:10.0.2.15:49539<->131.202.240.87:53828
background,tcp,447,5619.33,82.7,99.5,2.605,32,60,0.443,0.828,0.0,0.443,0.795,12.5994,24.9028,0.08,tcp:10.0.2.15:46839<->64.4.23.162:40019
background,tcp,402,2464.24,82.9,28.4,3.67,47,60,0.289,0.565,0.0,0.289,0.406,6.1452,112.5969,0.16,tcp:10.0.2.15:39536<->64.233.181.16:993
background,tcp,1745,5538.96,103.0,111.2,4.026,125,60,0.257,0.558,0.001,0.257,0.345,3.176,37.1374,0.32,tcp:10.0.2.15:43558<->64.233.183.16:993
background,tcp,40,4859.43,58.2,2.5,1.5,3,60,0.5,1.0,0.0,0.5,1.0,124.6009,230.4101,0.01,tcp:10.0.2.15:42899<->157.56.53.47:12350
background,tcp,58,4869.01,349.4,431.5,2.687,9,54,0.276,0.655,0.103,0.224,0.289,85.4212,199.3483,0.01,tcp:10.0.2.15:50956<->157.56.192.53:443
background,udp,28,4568.84,123.7,56.7,3.101,10,79,0.214,0.5,0.0,0.143,0.0,169.2165,255.6552,0.01,udp:10.0.2.15:49539<->157.56.52.13:40011
background,udp,17,3956.65,70,0.0,-0.0,1,70,1.0,1.0,0.0,0.0,0.0,247.2908,626.6768,0.0,udp:10.0.2.15:49539<->131.202.240.87:15685
background,udp,35,1502.49,61.5,12.2,2.474,9,70,0.314,0.8,0.0,0.2,0.0,44.1909,238.5871,0.02,udp:10.0.2.15:49539<->131.202.240.87:52869
background,tcp,54,36.2,113.1,186.6,3.514,22,60,0.333,0.574,0.0,0.333,0.5,0.683,2.8726,1.49,tcp:10.0.2.15:45746<->24.140.134.21:45411
background,tcp,34,35.83,86,94.9,2.887,13,60,0.412,0.647,0.0,0.412,0.7,1.0857,4.2734,0.95,tcp:10.0.2.15:54955<->204.83.155.169:32620
background,tcp,32,35.83,86.9,98.3,2.887,13,60,0.406,0.656,0.0,0.406,0.684,1.1559,4.4039,0.89,tcp:10.0.2.15:50197<->67.70.26.33:60854
background,udp,14,1520.75,65.7,2.9,2.379,6,65,0.286,0.714,0.0,0.0,0.0,116.9808,409.9636,0.01,udp:10.0.2.15:49539<->24.140.134.21:45411
background,udp,16,3984.62,66.4,5.4,1.311,5,64,0.75,0.875,0.0,0.0,0.0,265.641,928.4083,0.0,udp:10.0.2.15:49539<->204.83.155.169:32620
background,udp,39,2134.86,62.2,12.7,2.54,10,70,0.308,0.795,0.0,0.205,0.0,56.1804,326.2252,0.02,udp:10.0.2.15:49539<->131.202.240.87:51376
background,tcp,54,35.81,113.4,186.9,3.528,22,60,0.333,0.556,0.0,0.333,0.5,0.6757,2.98,1.51,tcp:10.0.2.15:45750<->24.140.134.21:45411
background,tcp,34,35.47,85.5,94.9,2.887,13,60,0.412,0.647,0.0,0.412,0.7,1.0749,4.2294,0.96,tcp:10.0.2.15:35289<->67.71.163.47:30582
background,tcp,32,35.51,68.0,21.6,2.718,11,60,0.375,0.688,0.0,0.375,0.6,1.1456,4.2984,0.9,tcp:10.0.2.15:48319<->69.51.239.202:44824
